LexToken(FLOAT,9.5,29,727)
LexToken(RBRACKET,']',29,730)
LexToken(RPAREN,')',29,731)
LexToken(COMMA,',',29,732)
LexToken(ID,'Estudiante',30,738)
LexToken(LPAREN,'(',30,748)
LexToken(STRING,'Carlos',30,749)
LexToken(COMMA,',',30,757)
LexToken(LBRACKET,'[',30,759)
LexToken(FLOAT,5.0,30,760)
LexToken(COMMA,',',30,763)
LexToken(FLOAT,4.5,30,765)
LexToken(COMMA,',',30,768)
LexToken(FLOAT,6.0,30,770)
LexToken(RBRACKET,']',30,773)
LexToken(RPAREN,')',30,774)
LexToken(COMMA,',',30,775)
LexToken(RBRACKET,']',31,779)
LexToken(SEMICOLON,';',31,780)
LexToken(PRINT,'print',33,785)
LexToken(LPAREN,'(',33,790)
LexToken(STRING,'=== Reporte Académico ===\\n',33,791)
LexToken(RPAREN,')',33,820)
LexToken(SEMICOLON,';',33,821)
LexToken(FOR,'for',34,825)
LexToken(LPAREN,'(',34,829)
LexToken(VAR,'var',34,830)
LexToken(ID,'estudiante',34,834)
LexToken(IN,'in',34,845)
LexToken(ID,'estudiantes',34,848)
LexToken(RPAREN,')',34,859)
LexToken(LBRACE,'{',34,861)
LexToken(PRINT,'print',35,867)
LexToken(LPAREN,'(',35,872)
LexToken(STRING,'Nombre: ${estudiante.nombre}',35,873)
LexToken(RPAREN,')',35,903)
LexToken(SEMICOLON,';',35,904)
LexToken(PRINT,'print',36,910)
LexToken(LPAREN,'(',36,915)
LexToken(STRING,"Notas: ${estudiante.notas.join(', ')}",36,916)
LexToken(RPAREN,')',36,955)
LexToken(SEMICOLON,';',36,956)
LexToken(PRINT,'print',37,962)
LexToken(LPAREN,'(',37,967)
LexToken(STRING,'Promedio: ${estudiante.promedio.toStringAsFixed(2)}',37,968)
LexToken(RPAREN,')',37,1021)
LexToken(SEMICOLON,';',37,1022)
LexToken(PRINT,'print',38,1028)
LexToken(LPAREN,'(',38,1033)
LexToken(STRING,'Estado: ${estudiante.estado}',38,1034)
LexToken(RPAREN,')',38,1064)
LexToken(SEMICOLON,';',38,1065)
LexToken(PRINT,'print',39,1071)
LexToken(LPAREN,'(',39,1076)
LexToken(STRING,'Clasificación: ${estudiante.clasificacion()}',39,1077)
LexToken(RPAREN,')',39,1123)
LexToken(SEMICOLON,';',39,1124)
LexToken(PRINT,'print',40,1130)
LexToken(LPAREN,'(',40,1135)
LexToken(STRING,'-----------------------------',40,1136)
LexToken(RPAREN,')',40,1167)
LexToken(SEMICOLON,';',40,1168)
LexToken(RBRACE,'}',41,1172)
LexToken(STRING,'String',44,1202)
LexToken(ID,'nombreBuscado',44,1209)
LexToken(ASSIGN,'=',44,1223)
LexToken(STRING,'Luis',44,1225)
LexToken(SEMICOLON,';',44,1231)
LexToken(ID,'Estudiante',45,1235)
LexToken(QUESTION,'?',45,1245)
LexToken(ID,'buscado',45,1247)
LexToken(ASSIGN,'=',45,1255)
LexToken(ID,'buscarEstudiante',45,1257)
