LexToken(ID,'min',32,755)
LexToken(RPAREN,')',32,758)
LexToken(ID,'min',32,760)
LexToken(ASSIGN,'=',32,764)
LexToken(ID,'val',32,766)
LexToken(SEMICOLON,';',32,769)
LexToken(IF,'if',33,778)
LexToken(LPAREN,'(',33,781)
LexToken(ID,'val',33,782)
LexToken(GREATER,'>',33,786)
LexToken(ID,'max',33,788)
LexToken(RPAREN,')',33,791)
LexToken(ID,'max',33,793)
LexToken(ASSIGN,'=',33,797)
LexToken(ID,'val',33,799)
LexToken(SEMICOLON,';',33,802)
LexToken(RBRACE,'}',34,809)
LexToken(ID,'resumen',35,816)
LexToken(LBRACKET,'[',35,823)
LexToken(STRING,'min',35,824)
LexToken(RBRACKET,']',35,829)
LexToken(ASSIGN,'=',35,831)
LexToken(ID,'min',35,833)
LexToken(SEMICOLON,';',35,836)
LexToken(ID,'resumen',36,843)
LexToken(LBRACKET,'[',36,850)
LexToken(STRING,'max',36,851)
LexToken(RBRACKET,']',36,856)
LexToken(ASSIGN,'=',36,858)
LexToken(ID,'max',36,860)
LexToken(SEMICOLON,';',36,863)
LexToken(ID,'resumen',37,870)
LexToken(LBRACKET,'[',37,877)
LexToken(STRING,'promedio',37,878)
LexToken(RBRACKET,']',37,888)
LexToken(ASSIGN,'=',37,890)
LexToken(ID,'suma',37,892)
LexToken(DIVIDE,'/',37,897)
LexToken(ID,'datos',37,899)
LexToken(DOT,'.',37,904)
LexToken(LENGTH,'length',37,905)
LexToken(SEMICOLON,';',37,911)
LexToken(RBRACE,'}',38,916)
LexToken(VOID,'void',40,922)
LexToken(ID,'mostrarResumen',40,927)
LexToken(LPAREN,'(',40,941)
LexToken(RPAREN,')',40,942)
LexToken(LBRACE,'{',40,944)
LexToken(PRINT,'print',41,951)
LexToken(LPAREN,'(',41,956)
LexToken(STRING,'Resumen:',41,957)
LexToken(RPAREN,')',41,967)
LexToken(SEMICOLON,';',41,968)
LexToken(PRINT,'print',42,975)
LexToken(LPAREN,'(',42,980)
LexToken(STRING,'Min: ${resumen[',42,981)
LexToken(ID,'min',42,998)
LexToken(STRING,']}, Max: ${resumen[',42,1001)
LexToken(ID,'max',42,1022)
LexToken(STRING,']}, Promedio: ${resumen[',42,1025)
LexToken(ID,'promedio',42,1051)
LexToken(STRING,']}',42,1059)
LexToken(RPAREN,')',42,1063)
LexToken(SEMICOLON,';',42,1064)
LexToken(PRINT,'print',43,1071)
LexToken(LPAREN,'(',43,1076)
