LexToken(ID,'derecha',116,726)
LexToken(RPAREN,')',116,733)
LexToken(LBRACE,'{',116,735)
LexToken(IF,'if',117,741)
LexToken(LPAREN,'(',117,744)
LexToken(ID,'procesado',117,745)
LexToken(LBRACKET,'[',117,754)
LexToken(ID,'izquierda',117,755)
LexToken(RBRACKET,']',117,764)
LexToken(NOT_EQUALS,'!=',117,766)
LexToken(ID,'procesado',117,769)
LexToken(LBRACKET,'[',117,778)
LexToken(ID,'derecha',117,779)
LexToken(RBRACKET,']',117,786)
LexToken(RPAREN,')',117,787)
LexToken(LBRACE,'{',117,789)
LexToken(RETURN,'return',118,797)
LexToken(FALSE,'false',118,804)
LexToken(SEMICOLON,';',118,809)
LexToken(RBRACE,'}',119,815)
LexToken(ID,'izquierda',120,821)
LexToken(INCREMENT,'++',120,830)
LexToken(SEMICOLON,';',120,832)
LexToken(ID,'derecha',121,838)
LexToken(DECREMENT,'--',121,845)
LexToken(SEMICOLON,';',121,847)
LexToken(RBRACE,'}',122,851)
LexToken(RETURN,'return',123,855)
LexToken(TRUE,'true',123,862)
LexToken(SEMICOLON,';',123,866)
LexToken(RBRACE,'}',124,868)
