LexToken(FLOAT,9.5,28,732)
LexToken(RBRACKET,']',28,735)
LexToken(RPAREN,')',28,736)
LexToken(COMMA,',',28,737)
LexToken(ID,'Estudiante',29,743)
LexToken(LPAREN,'(',29,753)
LexToken(STRING,'Carlos',29,754)
LexToken(COMMA,',',29,762)
LexToken(LBRACKET,'[',29,764)
LexToken(FLOAT,5.0,29,765)
LexToken(COMMA,',',29,768)
LexToken(FLOAT,4.5,29,770)
LexToken(COMMA,',',29,773)
LexToken(FLOAT,6.0,29,775)
LexToken(RBRACKET,']',29,778)
LexToken(RPAREN,')',29,779)
LexToken(COMMA,',',29,780)
LexToken(RBRACKET,']',30,784)
LexToken(SEMICOLON,';',30,785)
LexToken(PRINT,'print',32,790)
LexToken(LPAREN,'(',32,795)
LexToken(QUOTATION_MARK,'"',32,796)
LexToken(EQUALS,'==',32,797)
LexToken(ASSIGN,'=',32,799)
LexToken(ID,'Reporte',32,801)
LexToken(ID,'Acad',32,809)
[Error Léxico] Línea 32: Carácter ilegal 'é'
LexToken(ID,'mico',32,814)
LexToken(EQUALS,'==',32,819)
LexToken(ASSIGN,'=',32,821)
LexToken(QUOTATION_MARK,'"',33,823)
LexToken(RPAREN,')',33,824)
LexToken(SEMICOLON,';',33,825)
LexToken(FOR,'for',34,829)
LexToken(LPAREN,'(',34,833)
LexToken(VAR,'var',34,834)
LexToken(ID,'estudiante',34,838)
LexToken(IN,'in',34,849)
LexToken(ID,'estudiantes',34,852)
LexToken(RPAREN,')',34,863)
LexToken(LBRACE,'{',34,865)
LexToken(PRINT,'print',35,871)
LexToken(LPAREN,'(',35,876)
LexToken(STRING,'Nombre: ${estudiante.nombre}',35,877)
LexToken(RPAREN,')',35,907)
LexToken(SEMICOLON,';',35,908)
LexToken(PRINT,'print',36,914)
LexToken(LPAREN,'(',36,919)
LexToken(STRING,"Notas: ${estudiante.notas.join(', ')}",36,920)
LexToken(RPAREN,')',36,959)
LexToken(SEMICOLON,';',36,960)
LexToken(PRINT,'print',37,966)
LexToken(LPAREN,'(',37,971)
LexToken(STRING,'Promedio: ${estudiante.promedio.toStringAsFixed(2)}',37,972)
LexToken(RPAREN,')',37,1025)
LexToken(SEMICOLON,';',37,1026)
LexToken(PRINT,'print',38,1032)
LexToken(LPAREN,'(',38,1037)
LexToken(STRING,'Estado: ${estudiante.estado}',38,1038)
LexToken(RPAREN,')',38,1068)
LexToken(SEMICOLON,';',38,1069)
LexToken(PRINT,'print',39,1075)
LexToken(LPAREN,'(',39,1080)
LexToken(STRING,'Clasificación: ${estudiante.clasificacion()}',39,1081)
LexToken(RPAREN,')',39,1127)
LexToken(SEMICOLON,';',39,1128)
LexToken(PRINT,'print',40,1134)
LexToken(LPAREN,'(',40,1139)
LexToken(STRING,'-----------------------------',40,1140)
LexToken(RPAREN,')',40,1171)
LexToken(SEMICOLON,';',40,1172)
LexToken(RBRACE,'}',41,1176)
LexToken(STRING,'String',44,1206)
LexToken(ID,'nombreBuscado',44,1213)
LexToken(ASSIGN,'=',44,1227)
LexToken(STRING,'Luis',44,1229)
LexToken(SEMICOLON,';',44,1235)
LexToken(ID,'Estudiante',45,1239)
LexToken(QUESTION,'?',45,1249)
LexToken(ID,'buscado',45,1251)
LexToken(ASSIGN,'=',45,1259)
LexToken(ID,'buscarEstudiante',45,1261)
LexToken(LPAREN,'(',45,1277)
LexToken(ID,'estudiantes',45,1278)
LexToken(COMMA,',',45,1289)
LexToken(ID,'nombreBuscado',45,1291)
LexToken(RPAREN,')',45,1304)
LexToken(SEMICOLON,';',45,1305)
LexToken(IF,'if',47,1310)
LexToken(LPAREN,'(',47,1313)
LexToken(ID,'buscado',47,1314)
LexToken(NOT_EQUALS,'!=',47,1322)
LexToken(ID,'null',47,1325)
LexToken(RPAREN,')',47,1329)
LexToken(LBRACE,'{',47,1331)
LexToken(PRINT,'print',48,1337)
LexToken(LPAREN,'(',48,1342)
LexToken(QUOTATION_MARK,'"',48,1343)
LexToken(ID,'Estudiante',49,1346)
LexToken(ID,'encontrado',49,1357)
LexToken(COLON,':',49,1367)
LexToken(DOLLAR_SIGN,'$',49,1369)
LexToken(LBRACE,'{',49,1370)
LexToken(ID,'buscado',49,1371)
LexToken(DOT,'.',49,1378)
LexToken(ID,'nombre',49,1379)
LexToken(RBRACE,'}',49,1385)
LexToken(QUOTATION_MARK,'"',49,1386)
LexToken(RPAREN,')',49,1387)
LexToken(SEMICOLON,';',49,1388)
LexToken(PRINT,'print',50,1394)
LexToken(LPAREN,'(',50,1399)
LexToken(STRING,'Promedio: ${buscado.promedio}',50,1400)
LexToken(RPAREN,')',50,1431)
LexToken(SEMICOLON,';',50,1432)
LexToken(RBRACE,'}',51,1436)
LexToken(ELSE,'else',51,1438)
LexToken(LBRACE,'{',51,1443)
LexToken(PRINT,'print',52,1449)
LexToken(LPAREN,'(',52,1454)
LexToken(QUOTATION_MARK,'"',52,1455)
LexToken(ID,'Estudiante',53,1458)
LexToken(SINGLE_QUOTE,"'",53,1469)
LexToken(DOLLAR_SIGN,'$',53,1470)
LexToken(ID,'nombreBuscado',53,1471)
LexToken(SINGLE_QUOTE,"'",53,1484)
LexToken(ID,'no',53,1486)
LexToken(ID,'encontrado',53,1489)
LexToken(DOT,'.',53,1499)
LexToken(QUOTATION_MARK,'"',53,1500)
LexToken(RPAREN,')',53,1501)
LexToken(SEMICOLON,';',53,1502)
LexToken(RBRACE,'}',54,1506)
LexToken(RBRACE,'}',55,1508)
LexToken(ID,'Estudiante',57,1511)
LexToken(QUESTION,'?',57,1521)
LexToken(ID,'buscarEstudiante',57,1523)
LexToken(LPAREN,'(',57,1539)
LexToken(LIST,'List',57,1540)
LexToken(LESS,'<',57,1544)
LexToken(ID,'Estudiante',57,1545)
LexToken(GREATER,'>',57,1555)
LexToken(ID,'lista',57,1557)
LexToken(COMMA,',',57,1562)
LexToken(STRING,'String',57,1564)
LexToken(ID,'nombre',57,1571)
LexToken(RPAREN,')',57,1577)
LexToken(LBRACE,'{',57,1579)
LexToken(FOR,'for',58,1583)
LexToken(LPAREN,'(',58,1587)
LexToken(VAR,'var',58,1588)
LexToken(ID,'est',58,1592)
LexToken(IN,'in',58,1596)
LexToken(ID,'lista',58,1599)
LexToken(RPAREN,')',58,1604)
LexToken(LBRACE,'{',58,1606)
LexToken(IF,'if',59,1612)
LexToken(LPAREN,'(',59,1615)
LexToken(ID,'est',59,1616)
LexToken(DOT,'.',59,1619)
LexToken(ID,'nombre',59,1620)
LexToken(DOT,'.',59,1626)
LexToken(ID,'toLowerCase',59,1627)
LexToken(LPAREN,'(',59,1638)
LexToken(RPAREN,')',59,1639)
LexToken(EQUALS,'==',59,1641)
LexToken(ID,'nombre',59,1644)
LexToken(DOT,'.',59,1650)
LexToken(ID,'toLowerCase',59,1651)
LexToken(LPAREN,'(',59,1662)
LexToken(RPAREN,')',59,1663)
LexToken(RPAREN,')',59,1664)
LexToken(LBRACE,'{',59,1666)
LexToken(RETURN,'return',60,1674)
LexToken(ID,'est',60,1681)
LexToken(SEMICOLON,';',60,1684)
LexToken(RBRACE,'}',61,1690)
LexToken(RBRACE,'}',62,1694)
LexToken(RETURN,'return',63,1698)
LexToken(ID,'null',63,1705)
LexToken(SEMICOLON,';',63,1709)
LexToken(RBRACE,'}',64,1711)
