LexToken(ID,'min',46,755)
LexToken(RPAREN,')',46,758)
LexToken(ID,'min',46,760)
LexToken(ASSIGN,'=',46,764)
LexToken(ID,'val',46,766)
LexToken(SEMICOLON,';',46,769)
LexToken(IF,'if',47,778)
LexToken(LPAREN,'(',47,781)
LexToken(ID,'val',47,782)
LexToken(GREATER,'>',47,786)
LexToken(ID,'max',47,788)
LexToken(RPAREN,')',47,791)
LexToken(ID,'max',47,793)
LexToken(ASSIGN,'=',47,797)
LexToken(ID,'val',47,799)
LexToken(SEMICOLON,';',47,802)
LexToken(RBRACE,'}',48,809)
LexToken(ID,'resumen',49,816)
LexToken(LBRACKET,'[',49,823)
LexToken(STRING,'min',49,824)
LexToken(RBRACKET,']',49,829)
LexToken(ASSIGN,'=',49,831)
LexToken(ID,'min',49,833)
LexToken(SEMICOLON,';',49,836)
LexToken(ID,'resumen',50,843)
LexToken(LBRACKET,'[',50,850)
LexToken(STRING,'max',50,851)
LexToken(RBRACKET,']',50,856)
LexToken(ASSIGN,'=',50,858)
LexToken(ID,'max',50,860)
LexToken(SEMICOLON,';',50,863)
LexToken(ID,'resumen',51,870)
LexToken(LBRACKET,'[',51,877)
LexToken(STRING,'promedio',51,878)
LexToken(RBRACKET,']',51,888)
LexToken(ASSIGN,'=',51,890)
LexToken(ID,'suma',51,892)
LexToken(DIVIDE,'/',51,897)
LexToken(ID,'datos',51,899)
LexToken(DOT,'.',51,904)
LexToken(LENGTH,'length',51,905)
LexToken(SEMICOLON,';',51,911)
LexToken(RBRACE,'}',52,916)
LexToken(VOID,'void',54,922)
LexToken(ID,'mostrarResumen',54,927)
LexToken(LPAREN,'(',54,941)
LexToken(RPAREN,')',54,942)
LexToken(LBRACE,'{',54,944)
LexToken(PRINT,'print',55,951)
LexToken(LPAREN,'(',55,956)
LexToken(STRING,'Resumen:',55,957)
LexToken(RPAREN,')',55,967)
LexToken(SEMICOLON,';',55,968)
LexToken(PRINT,'print',56,975)
LexToken(LPAREN,'(',56,980)
LexToken(STRING,'Min: ${resumen[',56,981)
LexToken(ID,'min',56,998)
LexToken(STRING,']}, Max: ${resumen[',56,1001)
LexToken(ID,'max',56,1022)
LexToken(STRING,']}, Promedio: ${resumen[',56,1025)
LexToken(ID,'promedio',56,1051)
LexToken(STRING,']}',56,1059)
LexToken(RPAREN,')',56,1063)
LexToken(SEMICOLON,';',56,1064)
LexToken(PRINT,'print',57,1071)
LexToken(LPAREN,'(',57,1076)
LexToken(STRING,'Elemento buscado existe: ${resumen[',57,1077)
LexToken(ID,'existe',57,1114)
LexToken(STRING,']}',57,1120)
LexToken(RPAREN,')',57,1124)
LexToken(SEMICOLON,';',57,1125)
LexToken(RBRACE,'}',58,1130)
LexToken(RBRACE,'}',59,1133)
LexToken(VOID,'void',61,1137)
LexToken(ID,'main',61,1142)
