LexToken(VOID,'void',2,9)
LexToken(ID,'main',2,14)
LexToken(LPAREN,'(',2,18)
LexToken(RPAREN,')',2,19)
LexToken(LBRACE,'{',2,21)
LexToken(LIST,'List',3,33)
LexToken(LESS,'<',3,37)
LexToken(STRING,'String',3,38)
LexToken(QUESTION,'?',3,44)
LexToken(GREATER,'>',3,45)
LexToken(ID,'pruebas',3,47)
LexToken(ASSIGN,'=',3,55)
LexToken(LBRACKET,'[',3,57)
LexToken(STRING,'Anita lava la tina',4,71)
LexToken(COMMA,',',4,91)
LexToken(STRING,'¿Acaso hubo búhos acá?',5,105)
LexToken(COMMA,',',5,129)
LexToken(STRING,'No es palindromo',6,143)
LexToken(COMMA,',',6,161)
LexToken(STRING,'',7,175)
LexToken(COMMA,',',7,177)
LexToken(ID,'null',8,191)
LexToken(COMMA,',',8,195)
LexToken(RBRACKET,']',9,207)
LexToken(SEMICOLON,';',9,208)
LexToken(FOR,'for',11,221)
LexToken(LPAREN,'(',11,225)
LexToken(VAR,'var',11,226)
LexToken(ID,'texto',11,230)
LexToken(IN,'in',11,236)
LexToken(ID,'pruebas',11,239)
LexToken(RPAREN,')',11,246)
LexToken(LBRACE,'{',11,248)
LexToken(TRY,'try',12,262)
LexToken(LBRACE,'{',12,266)
LexToken(BOOL,'bool',13,282)
LexToken(ID,'es',13,287)
LexToken(ASSIGN,'=',13,290)
LexToken(ID,'esPalindromo',13,292)
LexToken(LPAREN,'(',13,304)
LexToken(ID,'texto',13,305)
LexToken(RPAREN,')',13,310)
LexToken(SEMICOLON,';',13,311)
LexToken(PRINT,'print',14,327)
LexToken(LPAREN,'(',14,332)
LexToken(STRING,'"$texto" ${es ? "es" : "no es"} un palíndromo.',14,333)
LexToken(RPAREN,')',14,381)
LexToken(SEMICOLON,';',14,382)
LexToken(RBRACE,'}',15,396)
LexToken(CATCH,'catch',15,398)
LexToken(LPAREN,'(',15,404)
LexToken(ID,'e',15,405)
LexToken(RPAREN,')',15,406)
LexToken(LBRACE,'{',15,408)
LexToken(PRINT,'print',16,424)
LexToken(LPAREN,'(',16,429)
LexToken(STRING,'Error con entrada "$texto": $e',16,430)
LexToken(RPAREN,')',16,462)
LexToken(SEMICOLON,';',16,463)
LexToken(RBRACE,'}',17,477)
LexToken(RBRACE,'}',18,489)
LexToken(RBRACE,'}',19,499)
LexToken(BOOL,'bool',21,510)
LexToken(ID,'esPalindromo',21,515)
LexToken(LPAREN,'(',21,527)
LexToken(STRING,'String',21,528)
LexToken(QUESTION,'?',21,534)
LexToken(ID,'input',21,536)
LexToken(RPAREN,')',21,541)
LexToken(LBRACE,'{',21,543)
LexToken(IF,'if',22,555)
LexToken(LPAREN,'(',22,558)
LexToken(ID,'input',22,559)
LexToken(EQUALS,'==',22,565)
LexToken(ID,'null',22,568)
LexToken(RPAREN,')',22,572)
LexToken(THROW,'throw',22,574)
LexToken(ID,'ArgumentError',22,580)
LexToken(LPAREN,'(',22,593)
LexToken(STRING,'El texto no puede ser null',22,594)
LexToken(RPAREN,')',22,622)
LexToken(SEMICOLON,';',22,623)
LexToken(IF,'if',23,635)
LexToken(LPAREN,'(',23,638)
LexToken(ID,'input',23,639)
LexToken(DOT,'.',23,644)
LexToken(ID,'trim',23,645)
LexToken(LPAREN,'(',23,649)
LexToken(RPAREN,')',23,650)
LexToken(DOT,'.',23,651)
LexToken(ID,'isEmpty',23,652)
LexToken(RPAREN,')',23,659)
LexToken(THROW,'throw',23,661)
LexToken(ID,'FormatException',23,667)
LexToken(LPAREN,'(',23,682)
LexToken(STRING,'Cadena vacía no válida',23,683)
LexToken(RPAREN,')',23,707)
LexToken(SEMICOLON,';',23,708)
LexToken(FINAL,'final',25,721)
LexToken(STRING,'String',25,727)
LexToken(ID,'procesado',25,734)
LexToken(ASSIGN,'=',25,744)
LexToken(ID,'input',26,760)
LexToken(DOT,'.',26,765)
LexToken(ID,'toLowerCase',26,766)
LexToken(LPAREN,'(',26,777)
LexToken(RPAREN,')',26,778)
LexToken(DOT,'.',26,779)
LexToken(ID,'replaceAll',26,780)
LexToken(LPAREN,'(',26,790)
LexToken(ID,'RegExp',26,791)
LexToken(LPAREN,'(',26,797)
LexToken(ID,'r',26,798)
LexToken(STRING,'[^a-z0-9]',26,799)
LexToken(RPAREN,')',26,810)
LexToken(COMMA,',',26,811)
LexToken(STRING,'',26,813)
LexToken(RPAREN,')',26,815)
LexToken(SEMICOLON,';',26,816)
LexToken(INT,'int',28,829)
LexToken(ID,'izquierda',28,833)
LexToken(ASSIGN,'=',28,843)
LexToken(INT,0,28,845)
LexToken(SEMICOLON,';',28,846)
LexToken(INT,'int',29,858)
LexToken(ID,'derecha',29,862)
LexToken(ASSIGN,'=',29,870)
LexToken(ID,'procesado',29,872)
LexToken(DOT,'.',29,881)
LexToken(LENGTH,'length',29,882)
LexToken(MINUS,'-',29,889)
LexToken(INT,1,29,891)
LexToken(SEMICOLON,';',29,892)
LexToken(WHILE,'while',31,905)
LexToken(LPAREN,'(',31,911)
LexToken(ID,'izquierda',31,912)
LexToken(LESS,'<',31,922)
LexToken(ID,'derecha',31,924)
LexToken(RPAREN,')',31,931)
LexToken(LBRACE,'{',31,933)
LexToken(IF,'if',32,947)
LexToken(LPAREN,'(',32,950)
LexToken(ID,'procesado',32,951)
LexToken(LBRACKET,'[',32,960)
LexToken(ID,'izquierda',32,961)
LexToken(RBRACKET,']',32,970)
LexToken(NOT_EQUALS,'!=',32,972)
LexToken(ID,'procesado',32,975)
LexToken(LBRACKET,'[',32,984)
LexToken(ID,'derecha',32,985)
LexToken(RBRACKET,']',32,992)
LexToken(RPAREN,')',32,993)
LexToken(LBRACE,
